Extension,Page Load Time (s),Ads Blocked,Trackers Blocked,CPU Change (%),Memory Change (%)
1,5.507321793808896,140.3846153846154,11.752136752136753,-6.723931623931623,1.8675213675213673
2,2.847836539028137,117.57723577235772,0.975609756097561,-0.1414634146341466,0.9634146341463412
3,2.718349681746575,231.15322580645162,2.9274193548387095,-3.5,0.3822580645161287
4,2.1492751960754393,250.824,3.088,1.552799999999999,1.135199999999999
No Extension,4.071736795902252,203.08,2.42,3.2710000000000004,1.303999999999999
